institution;period;euro;doi;is_hybrid;opt_out;;;;
Charite - Universitätsmedizin Berlin;2022;2737,41;10.1111/jne.13090;TRUE;FALSE;;;;
Charite - Universitätsmedizin Berlin;2022;2737,41;10.15252/embr.202254623;TRUE;FALSE;;;;
Charite - Universitätsmedizin Berlin;2022;2737,41;10.1111/all.15227;TRUE;FALSE;;;;
Charite - Universitätsmedizin Berlin;2022;2737,41;10.1002/ejhf.2437;TRUE;FALSE;;;;
Charite - Universitätsmedizin Berlin;2022;2737,41;10.1111/psyp.14021;TRUE;FALSE;;;;
Charite - Universitätsmedizin Berlin;2022;2737,41;10.1111/ene.15266;TRUE;FALSE;;;;
Charite - Universitätsmedizin Berlin;2022;2737,41;10.1111/epi.17194;TRUE;FALSE;;;;
Charite - Universitätsmedizin Berlin;2022;2737,41;10.1111/apha.13794;TRUE;FALSE;;;;
Charite - Universitätsmedizin Berlin;2022;2737,41;10.1111/bjd.21037;TRUE;FALSE;;;;
Charite - Universitätsmedizin Berlin;2022;2737,41;10.1111/ddg.14758;TRUE;FALSE;;;;
Charite - Universitätsmedizin Berlin;2022;2737,41;10.1002/ana.26326;TRUE;FALSE;;;;
Charite - Universitätsmedizin Berlin;2022;2737,41;10.1111/all.15248;TRUE;FALSE;;;;
Charite - Universitätsmedizin Berlin;2022;2737,41;10.1002/da.23249;TRUE;FALSE;;;;
Charite - Universitätsmedizin Berlin;2022;2737,41;10.1002/ijc.33995;TRUE;FALSE;;;;
Charite - Universitätsmedizin Berlin;2022;2737,41;10.1111/all.15270;TRUE;FALSE;;;;
Charite - Universitätsmedizin Berlin;2022;2737,41;10.1002/term.3296;TRUE;FALSE;;;;
Charite - Universitätsmedizin Berlin;2022;2737,41;10.1111/clr.13918;TRUE;FALSE;;;;
Charite - Universitätsmedizin Berlin;2022;2737,41;10.1002/adtp.202100247;TRUE;FALSE;;;;
Charite - Universitätsmedizin Berlin;2022;2737,41;10.1111/jan.15227;TRUE;FALSE;;;;
Charite - Universitätsmedizin Berlin;2022;2737,41;10.1111/febs.16426;TRUE;FALSE;;;;
Charite - Universitätsmedizin Berlin;2022;2737,41;10.1111/all.15275;TRUE;FALSE;;;;
Charite - Universitätsmedizin Berlin;2022;2737,41;10.1111/all.15274;TRUE;FALSE;;;;
Charite - Universitätsmedizin Berlin;2022;2737,41;10.1111/birt.12634;TRUE;FALSE;;;;
Charite - Universitätsmedizin Berlin;2022;2737,41;10.1111/bjd.21244;TRUE;FALSE;;;;
Charite - Universitätsmedizin Berlin;2022;2737,41;10.1111/acer.14812;TRUE;FALSE;;;;
Charite - Universitätsmedizin Berlin;2022;2737,41;10.1002/cpp.2728;TRUE;FALSE;;;;
Charite - Universitätsmedizin Berlin;2022;2737,41;10.1111/jir.12930;TRUE;FALSE;;;;
Charite - Universitätsmedizin Berlin;2022;2737,41;10.1111/cea.14135;TRUE;FALSE;;;;
Charite - Universitätsmedizin Berlin;2022;2737,41;10.1111/jdv.18123;TRUE;FALSE;;;;
Charite - Universitätsmedizin Berlin;2022;2737,41;10.1111/all.15304;TRUE;FALSE;;;;
Charite - Universitätsmedizin Berlin;2022;2737,41;10.1002/bimj.202100166;TRUE;FALSE;;;;
Charite - Universitätsmedizin Berlin;2022;2737,41;10.1002/jrs.6349;TRUE;FALSE;;;;
Charite - Universitätsmedizin Berlin;2022;2737,41;10.1111/jsr.13614;TRUE;FALSE;;;;
Charite - Universitätsmedizin Berlin;2022;2737,41;10.1111/all.15310;TRUE;FALSE;;;;
Charite - Universitätsmedizin Berlin;2022;2737,41;10.1002/erv.2907;TRUE;FALSE;;;;
Charite - Universitätsmedizin Berlin;2022;2737,41;10.1111/jocs.16529;TRUE;FALSE;;;;
Charite - Universitätsmedizin Berlin;2022;2737,41;10.1111/myc.13443;TRUE;FALSE;;;;
Charite - Universitätsmedizin Berlin;2022;2737,41;10.1002/art.42144;TRUE;FALSE;;;;
Charite - Universitätsmedizin Berlin;2022;2737,41;10.1002/jor.25347;TRUE;FALSE;;;;
Charite - Universitätsmedizin Berlin;2022;2737,41;10.1111/jdv.18184;TRUE;FALSE;;;;
Charite - Universitätsmedizin Berlin;2022;2737,41;10.1111/pai.13778;TRUE;FALSE;;;;
Charite - Universitätsmedizin Berlin;2022;2737,41;10.1111/iej.13757;TRUE;FALSE;;;;
Charite - Universitätsmedizin Berlin;2022;2737,41;10.1111/ddg.14816;TRUE;FALSE;;;;
Charite - Universitätsmedizin Berlin;2022;2737,41;10.1002/ijc.34051;TRUE;FALSE;;;;
Charite - Universitätsmedizin Berlin;2022;2737,41;10.1111/nyas.14794;TRUE;FALSE;;;;
Charite - Universitätsmedizin Berlin;2022;2737,41;10.1111/nyas.14804;TRUE;FALSE;;;;
Charite - Universitätsmedizin Berlin;2022;2737,41;10.1111/adb.13198;TRUE;FALSE;;;;
Charite - Universitätsmedizin Berlin;2022;2737,41;10.1111/ene.15431;TRUE;FALSE;;;;
Charite - Universitätsmedizin Berlin;2022;2737,41;10.1111/all.15396;TRUE;FALSE;;;;
Charite - Universitätsmedizin Berlin;2022;2737,41;10.15252/embj.2021109996;TRUE;FALSE;;;;
Charite - Universitätsmedizin Berlin;2022;2737,41;10.1111/all.15404;TRUE;FALSE;;;;
Charite - Universitätsmedizin Berlin;2022;2737,41;10.1002/ana.26440;TRUE;FALSE;;;;
Charite - Universitätsmedizin Berlin;2022;2737,41;10.1111/nup.12401;TRUE;FALSE;;;;
Charite - Universitätsmedizin Berlin;2022;2737,41;10.1111/ene.15457;TRUE;FALSE;;;;
Charite - Universitätsmedizin Berlin;2022;2737,41;10.1111/ene.15453;TRUE;FALSE;;;;
Charite - Universitätsmedizin Berlin;2022;2737,41;10.1111/jdv.18357;TRUE;FALSE;;;;
Charite - Universitätsmedizin Berlin;2022;2737,41;10.1111/nan.12830;TRUE;FALSE;;;;
Charite - Universitätsmedizin Berlin;2022;2737,41;10.1111/all.15414;TRUE;FALSE;;;;
Charite - Universitätsmedizin Berlin;2022;2737,41;10.1111/birt.12666;TRUE;FALSE;;;;
Charite - Universitätsmedizin Berlin;2022;2737,41;10.1259/dmfr.20220131;TRUE;FALSE;;;;
