"period","Institution - Abbrv","institution","ArticleTitle","JournalTitle","ISSN","NSD Level","DOI","euro"
2016,"Ahus","Akershus University Hospital","Fear of childbirth and elective caesarean section: a population-based study","BMC Pregnancy and Childbirth","1471-2393",1,"10.1186/s12884-015-0655-4 ",1652.46
2016,"Ahus","Akershus University Hospital","The epidermal growth factor receptor (EGFR / HER-1) gatekeeper mutation T790M is present in European patients with early breast cancer","PLoS ONE","1932-6203",1,"10.1371/journal.pone.0134398",1188.56
2016,"Ahus","Akershus University Hospital","Effects of low-dose clonidine on cardiovascular and autonomic variables in adolescents with chronic fatigue: A randomized controlled trial.","BMC Pediatrics","1471-2431",1,"10.1186/s12887-015-0428-2",1914.74
2016,"Ahus","Akershus University Hospital","Transcriptionally active regions are the preferred targets for chromosomal HPV integration in cervical carcinogenesis.","PLoS ONE","1932-6203",1,"10.1371/journal.pone.0119566 ",1104.78
2016,"Ahus","Akershus University Hospital","Early increase in circulating carbonic anhydrase IX during neoadjuvant treatment predicts favourable outcome in locally advanced rectal cancer","BMC Cancer","1471-2407",1,"10.1186/s12885-015-1557-6",1586.45
2016,"Ahus","Akershus University Hospital","Posttraumatic growth, depression and posttraumatic stress in relation to quality of life in tsunami survivors: A longitudinal study","Health and Quality of Life Outcomes","1477-7525",1,"10.1186/s12955-014-0202-4",833.92
2016,"Ahus","Akershus University Hospital","Monitoring adverse events in Norwegian hospitals from 2010 to 2013.","BMJ Open","2044-6055",1,"10.1136/bmjopen-2015-008576",1926.13
2016,"Ahus","Akershus University Hospital","Chiropractic spinal manipulative therapy for migraine: a study protocol of a single-blinded placebo-controlled randomised clinical trial.","BMJ Open ","2044-6055",1,"10.1136/bmjopen-2015-008095",1072.41
2016,"Ahus","Akershus University Hospital","Validation of Placebo in a Manual Therapy Randomized Controlled Trial.","Scientific Reports","2045-2322",1,"10.1038/srep11774",1131.46
2016,"Ahus","Akershus University Hospital","Prevalence of nutritional risk in the non-demented hospitalized elderly: a cross-sectional study from Norway using stratified sampling","Journal of Nutritional Science","2048-6790",1,"10.1017/jns.2015.8 ",1289.99
2016,"Ahus","Akershus University Hospital","Low-dose CT coronary angiography for assessment of coronary artery disease in patients with type 2 diabetes - A cross-sectional study","BMC Cardiovascular Disorders","1471-2261",1,"10.1186/s12872-015-0143-9 ",1979.22
2016,"BI","BI Norwegian Business School","Managing nature - business as usual: Resource extraction companies and their representation of natural landscapes","Sustainability ","2071-1050",1,"10.3390/su71215791",1094.23
2016,"BI","BI Norwegian Business School","Behavioral disinhibition can foster intensions to healthy lifestyle change by overcoming commitment to past behavior","PLoS ONE","1932-6203",1,"10.1371/journal.pone.0142489",515.65
2015,"BI","BI Norwegian Business School","Predicting survey responses: How and why semantics shape survey statistics on organizational behaviour","PLoS ONE","1932-6203",1,"10.1371/journal.pone.0106361",932.07
2015,"BI","BI Norwegian Business School","The art of dealing with religious and cultural diversity in the classroom","International Journal of Business and Management","1833-8119 / 1833-3850",1,"10.5539/ijbm.v9n10p149",218.89
2015,"Bioforsk","Norwegian Institute for Agricultural and Environmental Research","The genome of the generalist plant pathogen Fusarium avenaceum is enriched with genes involved in re","Plos","1932-6203",1,"10.1371/journal.pone.0112703",1194.41
2015,"Bioforsk","Norwegian Institute for Agricultural and Environmental Research","Admixture and gene flow from Russia","Plos","1932-6203",1,"10.1371/journal.pone.0097558",1194.41
2016,"FHI","Norwegian Institute of Public Health","Pneumococcal vaccination in older adults in the era of childhood vaccination: Public health insights from a Norwegian statistical prediction study","Epidemics","1755-4365",1,"10.1016/j.epidem.2015.01.001",1362.94
2016,"FHI","Norwegian Institute of Public Health","Risk factors for sporadic domestically acquired campylobacter infections in Norway 2010-2011: A national prospective case-control study","PLOS ONE","1932-6203",1,"10.1371/journal.pone.0139636",1190.73
2016,"FHI","Norwegian Institute of Public Health","Mortality, temporary sterilization, and maternal effects of sublethal heat in bed bugs","PLOS ONE","1932-6203",1,"10.1371/journal.pone.0127555",1281.31
2016,"FHI","Norwegian Institute of Public Health","Bias in observational studies of the association between menopausal hormone therapy and breast","PLOS ONE","1932-6203",1,"10.1371/journal.pone.0124076",1170.38
2016,"FHI","Norwegian Institute of Public Health","Genetic and Diet-Induced Obesity Increased Intestinal Tumorigenesis in the Double Mutant Mouse Model Multiple Intestinal Neoplasia X Obese via Disturbed Glucose Regulation and Inflammation","Journal of Obesity","2090-0708",1,"10.1155/2015/343479",400.43
2016,"FHI","Norwegian Institute of Public Health","The intrauterine and nursing period is a window of susceptibility for development of obesity and intestinal tumorigenesis by a high fat diet in Min/+ mice as adults","Journal of Obesity","2090-0708",1,"10.1155/2015/624023",671.72
2016,"FHI","Norwegian Institute of Public Health","Peak weight an heavy velocity to age 36 months and asthma development: the Norwegian Mother and Child Cohort Study","PLOS ONE","1932-6203",1,"10.1371/journal.pone.0116362",1087.55
2016,"FHI","Norwegian Institute of Public Health","Saffold Virus, a Human Cardiovirus, and Risk of Persistent Islet Autoantibodies in the Longitudinal Birth Cohort Study MIDIA","PLOS ONE","1932-6203",1,"10.1371/journal.pone.0136849",1203.87
2016,"FHI","Norwegian Institute of Public Health","Sudden infant death syndrome and the genetics of inflammation","Frontiers in Immunology","1664-3224",1,"10.3389/fimmu.2015.00063",913.94
2016,"FHI","Norwegian Institute of Public Health","Effect of maternal gestational weight gain on offspring DNA methylation: a follow-up to the ALSPAC cohort study","BMC Research Notes","1756-0500",1,"10.1186/s13104-015-1286-6",802.58
2016,"FHI","Norwegian Institute of Public Health","Symphysis-fundus height measurement to predict small-for-gestational-age status at birth: A systematic review","BMC Pregnancy and Childbirth","1471-2393",1,"10.1186/s12884-015-0461-z",1417.87
2016,"FHI","Norwegian Institute of Public Health","Adolescent school absenteeism and service use in a population-based study","BMC Public Health","1471-2458",1,"10.1186/s12889-015-1978-9",1417.87
2016,"FHI","Norwegian Institute of Public Health","Health, health behaviors, and health dissimilarities predict divorce: results from the HUNT study","BMC Psychology","2050-7283",1,"10.1186/s40359-015-0072-5",1417.87
2016,"FHI","Norwegian Institute of Public Health","Trajectories of maternal sleep problems before and after childbirth: a longitudinal population-based study","BMC Pregnancy and Childbirth","1471-2393",1,"10.1186/s12884-015-0577-1",1466.12
2016,"FHI","Norwegian Institute of Public Health","Midlife mental distress and risk for dementia up to 27 years later: the Nord-Trøndelag Health Study (HUNT) in linkage with a dementia registry in Norway","BMC Geriatrics","1471-2318",1,"10.1186/s12877-015-0020-5",1668.17
2016,"FHI","Norwegian Institute of Public Health","Genome expansion in bacteria: The curious case of Chlamydia trachomatis","BMC Research Notes ","1756-0500",1,"10.1186/s13104-015-1464-6",840.06
2016,"FHI","Norwegian Institute of Public Health","Ethnic inequalities in acute myocardial infarction and stroke rates in Norway 1994-2009: a nationwide cohort study (CVDNOR)","BMC Public Health","1471-2458",1,"10.1186/s12889-015-2412-z",1466.12
2016,"FHI","Norwegian Institute of Public Health","Febrile seizures after 2009 influenza A (H1N1) vaccination and infection: a nationwide registry-based study","BMC Infectious Diseases","1471-2334",1,"10.1186/s12879-015-1263-7",1466.12
2016,"FHI","Norwegian Institute of Public Health","Shiga toxin-producing escherichia coli infections in Norway, 1992-2012: characterization of isolates and identification of risk factors for haemolytic uremic syndrome","BMC Infectious Diseases","1471-2334",1,"10.1186/s12879-015-1017-6",1417.87
2016,"FHI","Norwegian Institute of Public Health","The quality of denominator data in surgical site infection surveillance versus administrative data in Norway 2005-2010","BMC Infectious Diseases","1471-2334",1,"10.1186/s12879-015-1289-x",1466.12
2016,"FHI","Norwegian Institute of Public Health","Monitoring of timely and delayed vaccinations: a nation-wide registry-based study of Norwegian children aged < 2 years","BMC Pediatrics","1471-2431",1,"10.1186/s12887-015-0487-4",1466.12
2016,"FHI","Norwegian Institute of Public Health","Peanut sensitization pattern in Norwegian children and adults with specific IgE to peanut show age related differences","Allergy, Asthma & Clinical Immunology","1710-1492",1,"10.1186/s13223-015-0095-8",1466.12
2016,"FHI","Norwegian Institute of Public Health","Use of alcohol and drugs by employees in selected business areas in Norway: a study using oral fluid testing and questionnaires","Journal of Occupational Medicine and Toxicology","1745-6673",1,"10.1186/s12995-015-0087-0",1407.21
2016,"FHI","Norwegian Institute of Public Health","Increased use of hypnotics in individuals with celiac disease: a nationwide case-control study","BMC Gastroentero-logy","1471-230X",1,"10.1186/s12876-015-0236-z",1668.17
2016,"FHI","Norwegian Institute of Public Health","Prevalence of use of non-prescription analgesics in Norwegian HUNT-3 population : impact of gender, age, exercise and prescription of opioids","BMC Public Health","1471-2458 ",1,"10.1186/s12889-015-1774-6",1417.87
2016,"FHI","Norwegian Institute of Public Health","Does suicide have a stronger association with seasonality than sunlight?","BMJ Open","2044-6055",1,"10.1136/bmjopen-2014-007403",1766.28
2015,"FHI","Norwegian Institute of Public Health","Vaccination coverage for seasonal influenza among residents and health care workers in Norwegian nursing homes during the 2012/13 season, a cross-sectional study","BMC Public Health","1471-2458",1,"10.1186/1471-2458-14-434",1496.89
2015,"FHI","Norwegian Institute of Public Health","Promoting sexual and reproductive health among adolescents in southern and eastern Africa (PREPARE): Project design and conceptual framework","BMC Public Health","1471-2458",1,"10.1186/1471-2458-14-54",1496.89
2015,"FHI","Norwegian Institute of Public Health","Mental health and wellbeing in spouses of persons with dementia: the Nord-Trondelag health study","BMC Public Health","1471-2458",1,"10.1186/1471-2458-14-413",1496.89
2015,"FHI","Norwegian Institute of Public Health","Two age peaks in the incidence of chronic fatigue syndrome/myalgic encephalomyelitis: a population-based registry study from Norway 2008-2012","BMC Medicine","1741-7015",1,"10.1186/s12916-014-0167-5",1563.24
2015,"FHI","Norwegian Institute of Public Health","Psychological distress in spouses of somatically Ill: longitudinal findings from the Nord- Trøndelag Health Study (HUNT).","Health and Quality of Health Outcomes","1477-7525",1,"10.1186/s12955-014-0139-7",1306.99
2015,"FHI","Norwegian Institute of Public Health","An evolutionary analysis of genome expansion and pathogenicity in Escherichia coli","BMC Genomics","1471-2164",1,"10.1186/1471-2164-15-882",1537.51
2015,"FHI","Norwegian Institute of Public Health","Impact of singlehood during pregnancy on dietary intake and birth outcomes - a study in the Norwegian Mother and Child Cohort Study","BMC Pregnancy and Childbirth","1471-2393",1,"10.1186/s12884-014-0396-9",1492.41
2015,"FHI","Norwegian Institute of Public Health","The influence of women's preferences and actual mode of delivery on post-traumatic stress symptoms following childbirth: a","BMC Pregnancy and Childbirth","1471-2393",1,"10.1186/1471-2393-14-191",1492.41
2015,"FHI","Norwegian Institute of Public Health","Persistent low carriage of serogroup A Neisseria meningitidis two years after mass vaccination with the","BMC Infectious Diseases","1471-2334",1,"10.1186/s12879-014-0663-4",1306.99
2015,"FHI","Norwegian Institute of Public Health","Does IQ influence Associations between ADHD Symptoms and other Cognitive Functions in young Preschoolers?","Behavioral and Brain Functions","1744-9081",1,"10.1186/1744-9081-10-16",1496.89
2015,"FHI","Norwegian Institute of Public Health","Midlife insomnia and mortality. The Hordaland Health Study","BMC Public Health","1471-2458",1,"10.1186/1471-2458-14-720",1537.51
2015,"FHI","Norwegian Institute of Public Health","Delayed Sleep Phase Syndrome in Adolescents","BMC Public Health","1471-2458",1,"10.1186/1471-2458-13-1163",1496.89
2015,"FHI","Norwegian Institute of Public Health","Sleep and body mass index in adolescence. Results from a large population-based study of Norwegian adolescents aged 16 to 18 years","BMC Pediatrics","1471-2431",1,"10.1186/1471-2431-14-204",1537.51
2015,"FHI","Norwegian Institute of Public Health","Mental Health in Adolescents with Type 1 diabetes: Results From a Large Population-Based Study","BMC Endocrine Disorders","1472-6823",1,"10.1186/1472-6823-14-83",1306.99
2015,"FHI","Norwegian Institute of Public Health","Mental health in immigrant men and women in Australia: The North West Adelaine Health Study","BMC Public Health","1471-2458",1,"10.1186/1471-2458-14-1111",1537.51
2015,"FHI","Norwegian Institute of Public Health","Immigrants' use of primary health care services for mental health problems","BMC Health Services Research","1472-6963",1,"10.1186/1472-6963-14-341",1496.89
2015,"FHI","Norwegian Institute of Public Health","Use of alcohol and drugs among health professionals in Norway: a study using data from questionnaires and samples of oral fluid","Journal of Occupational Medicine and Toxicology","1745-6673",1,"10.1186/1745-6673-9-8",1380.85
