ID,Title,Type,Language,PrimarySubject,Status,PublisherName,PublisherIdentifier,PublicationPlace,LicenseAgreement,Binding,RoundName,EUR Price,UnlatchingDate,LicenseURL,PublicationDate,IsbnHardback,IsbnPaperback,IsbnEpdf,IsbnEpub,Doi
2110,A Brief History of Islam in Europe,book,en,History,unlatched,Leiden University Press,,Leiden,=TRUE(),paperback,KU Select 2018: HSS Backlist Books,1875,2019-02-26,"cc-by-nc,",2014-10-01,,9789087281953,9789087283261,,
2573,Accelerators in Silicon Valley,book,en,Management & Business,unlatched,Amsterdam University Press,,Amsterdam,=TRUE(),hardback,KU Select 2018: HSS Backlist Books,1875,2019-01-31,"cc-by-nc-nd,",2017-09-12,9789462987166,,,,
3144,Access to Knowledge in Africa,book,en,Information Science,unlatched,UCT Press,,Cape Town,=TRUE(),paperback,KU Select 2018: HSS Backlist Books,1875,2019-04-11,"cc-nc-sa,",2010-07-02,,9781919895451,,9781552504901,
1848,Accountable Government in Africa,book,en,Political Science,unlatched,UCT Press,,Cape Town,=TRUE(),paperback,KU Select 2018: HSS Backlist Books,1875,2019-04-11,"cc-by-nc-nd,",2012-03-01,,9781919895376,9781920541637,9781920541279,
2936,Active ageing,book,en,Sociology,unlatched,Policy Press,,Bristol,=TRUE(),hardback,KU Select 2018: HSS Backlist Books,1875,2019-05-04,"cc-by-nc,",2014-05-14,9781447307204,,9781447354765,,
2812,African Asylum at a Crossroads,book,en,Political Science,unlatched,Ohio University Press,,"Athens, Ohio",=TRUE(),hardback,KU Select 2018: HSS Backlist Books,1875,2019-04-10,"cc-by-nc-nd,",2015-05-15,9780821421383,,9780821445181,,
2873,"After the ""Socialist Spring""",book,en,History,unlatched,Berghahn Books,,USA,=TRUE(),hardback,KU Select 2018: HSS Backlist Books,1875,2019-05-08,"cc-by-nc-nd,",2009-03-01,9781845455521,,9781789201086,9781789201086,
2668,Against Meritocracy,book,en,Media & Communications,unlatched,Taylor & Francis,,"Abingdon, UK",=TRUE(),hardback,KU Select 2018: HSS Backlist Books,1875,2019-02-10,"cc-by-nc-nd,",2017-08-15,9781138889552,,9781315712802,,
2062,A Gender-based Approach to Parliamentary Discourse,book,en,Linguistics,unlatched,John Benjamins Publishing Company,,Amsterdam,=TRUE(),hardback,KU Select 2018: HSS Backlist Books,1875,2019-01-31,"cc-by-nc-nd,",2016-12-01,9789027206596,,9789027266330,,10.1075/dapsac.68
1898,Alternative countrysides,book,en,Anthropology,unlatched,Manchester University Press,,Manchester,=TRUE(),hardback,KU Select 2018: HSS Backlist Books,1875,2019-03-05,"cc-by-nc-nd,",2015-07-01,9780719096846,,,,
