"Institution","period","currency","apc","doi","is_hybrid","publisher","journal_full_title","issn","license_ref","url","euro"
"Bern University of Applied Sciences","2024-02-08","USD","2297.13","10.3389/fspor.2024.1305817","FALSE","Frontiers","Frontiers in Sports and Active Living-Injury Prevention and Rehabiütation","2624-9367","CC BY","https://www.frontiersin.org/journals/sports-and-active-living/articles/10.3389/fspor.2024.1305817/full ","2135.28"
"Bern University of Applied Sciences","2024-05-03","USD","2972","10.1136/bmjopen-2023-082417","FALSE","BMJ","BMJ Open","2044-6055","CC BY","https://bmjopen.bmj.com/content/14/5/e082417#article-bottom","2766.2"
"Bern University of Applied Sciences","2024-03-07","EUR","3075.45","10.1186/s12913-024-10839-x","FALSE","BioMed Central","BMC Health Services Research","1472-6963","CC BY ","https://bmchealthservres.biomedcentral.com/articles/10.1186/s12913-024-10839-x","3075.45"
"Bern University of Applied Sciences","2024-01-03","CHF","2067.84","10.3390/su16010458","TRUE","MDPI","Sustainability","2071-1050","CC BY","https://www.mdpi.com/2071-1050/16/1/458","2218.24"
"Bern University of Applied Sciences","2024-03-06","EUR","2751.15","10.1186/s12891-024-07343-y","FALSE","Springer","BMC Musculoskeletal Disorders","1471-2474","CC BY","https://bmcmusculoskeletdisord.biomedcentral.com/articles/10.1186/s12891-024-07343-y","2751.15"
"Bern University of Applied Sciences","2024-07-22","USD","2297.13","10.3389/frai.2024.1431156","FALSE","Frontiers","Frontiers in Artificial Intelligence","2624-8212","CC BY","https://www.frontiersin.org/journals/artificial-intelligence/articles/10.3389/frai.2024.1431156/full","2109.78"
"Bern University of Applied Sciences","2024-03-05","EUR","2497.11","10.1016/j.lwt.2024.115948","FALSE","Elsevier","LWT - Food Science and Technology","0023-6438","CC BY","https://www.sciencedirect.com/science/article/pii/S0023643824002275?via%3Dihub","2497.11"
"Bern University of Applied Sciences","2024-11-27","CHF","2075.52","10.3390/fire7120446","FALSE","MDPI","Fire","2571-6255","CC BY","https://www.mdpi.com/2571-6255/7/12/446","2229.58"
"Bern University of Applied Sciences","2024-01-05","EUR","2967.35","10.1007/s16024-024-00403-2","TRUE","Springer","HeilberufeScience","2190-2100","CC BY","https://link.springer.com/article/10.1007/s16024-024-00403-2","2967.35"
"Bern University of Applied Sciences","2024-03-05","USD","3561.9","10.3389/fpsyt.2024.1319522","FALSE","Frontiers ","Frontiers in psychiatry","1664-0640","CC BY","https://www.frontiersin.org/journals/psychiatry/articles/10.3389/fpsyt.2024.1319522/full","3283.16"
